ref,qty,value,mpn,footprint,unit_cost_usd,line_cost_usd,description,note
U1,1,ESP32-E22-MINI-1,ESP32-E22-MINI-1,RF_Module:Espressif_ESP32-E22_MINI-1,4.20,4.20,Wi-Fi 6E + BLE 5.4 Radio Co-Processor (Projected/Future),Projected component; roadmap item pending official release.
U1B,1,ESP32-E22-MINI-1,ESP32-E22-MINI-1,RF_Module:Espressif_ESP32-E22_MINI-1,4.20,4.20,Second radio for link aggregation,Projected component; roadmap item pending official release.
U2,1,USB2.0-HS SD/eMMC bridge,GL823 (or equiv),Package_DFN_QFN:QFN-24,1.60,1.60,USB 2.0 High-Speed mass-storage bridge; owns storage when plugged in,Alternative. USB 2.0 for ~25-35 MB/s wired. QFN-24.
U3,1,BQ25896RTWT Power-Path Charger,BQ25896RTWT,Package_DFN_QFN:WQFN-24-EP_4x4mm,1.50,1.50,I2C USB buck charger with power-path; run radio while charging,"Primary. Power-path allows radio operation while charging. I2C controllable. Backup: MCP73831 (SOT-23-5, simple linear, no power-path)."
U4,1,MAX17048G+T10,MAX17048G+T10,Package_DFN_QFN:TDFN-8-1EP_3x3mm,0.80,0.80,I2C fuel gauge (real battery percent),
U5,1,3V3 buck (>=2A for E22),TPS62840-class,Package_TO_SOT_SMD:SOT-23-5,1.20,1.20,"Step-down regulator, sized for Wi-Fi TX peak",
U6,1,TXS02612RTWR SD 2:1 bus mux,TXS02612RTWR,Package_DFN_QFN:WQFN-24-EP_4x4mm,0.70,0.70,Arbitrates microSD/eMMC bus between radio (B0) and bridge (B1),CRITICAL FIX. Replaces invalid QFN-20. 6-Channels required for SDIO 4-bit. Includes integrated pull-ups.
J1,1,USB4105-GF-A-060 USB-C receptacle,USB4105-GF-A-060,Connector_USB:USB_C_Receptacle_USB2.0_16P,1.07,1.07,Charge + wired data + CC,
D1,1,USB ESD array,USBLC6-2SC6,Package_TO_SOT_SMD:SOT-23-6,0.20,0.20,TVS protection on D+/D-/VBUS,
R1,1,5.1k,RC0402FR-075K1L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,USB-C CC1 pulldown (sink role),
R2,1,5.1k,RC0402FR-075K1L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,USB-C CC2 pulldown (sink role),
R3,1,2k,RC0402FR-072KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,BQ25896 ILIM (sets input current limit),
R4,1,4.7k,RC0402FR-074K7L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,I2C SDA pull-up,
R5,1,4.7k,RC0402FR-074K7L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,I2C SCL pull-up,
R6,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,Button pull-up,
SW1,1,B3U-1000P tactile button,B3U-1000P,Button_Switch_SMD:SW_SPST_B3U-1000P,0.18,0.18,Pair / factory-reset (press patterns),
LED1,1,WS2812B-2020-V6,WS2812B-2020-V6,LED_SMD:LED_WS2812B-2020-V6,0.10,0.10,Addressable RGB status LED,
R7,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_CMD pull-up,
R8,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D0 pull-up,
R9,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D1 pull-up,
R10,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D2 pull-up,
R11,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D3 pull-up,
J2,1,DM3D-SF microSD push-push socket,DM3D-SF,Connector_Card:microSD_HC_Hirose_DM3D-SF,1.41,1.41,User-swappable microSD (SDIO 4-bit),
BT1,1,LiPo 300-500mAh + PCM,BM02B-ACHSS-GAN-ETF + cell,Connector:Conn_01x02_Pin,3.50,3.50,Single-cell LiPo with protection circuit,

TOTAL_ELECTRONICS,,,,,,20.77,,
