ref,qty,value,mpn,footprint,unit_cost_usd,line_cost_usd,description,note
U1,1,ESP32-C5-WROOM-1,ESP32-C5-WROOM-1-N8,RF_Module:ESP32-S3-WROOM-1,2.60,2.60,Wi-Fi 6 dual-band + BLE module (radio/MCU),
U2,1,USB2.0-HS SD/eMMC bridge,GL3224-OEM (or RTS5306-class),Package_DFN_QFN:QFN-24,1.60,1.60,USB High-Speed mass-storage bridge; owns storage when plugged in,
U3,1,MCP73831,MCP73831T-2ACI/OT,Package_TO_SOT_SMD:SOT-23-5,0.50,0.50,Single-cell Li-ion/LiPo charge management,
U4,1,MAX17048,MAX17048G+T10,Package_DFN_QFN:TDFN-8-1EP_3x3mm,0.80,0.80,I2C fuel gauge (real battery percent),
U5,1,3V3 buck (>=600mA),TPS62740-class,Package_TO_SOT_SMD:SOT-23-6,0.40,0.40,"Step-down regulator, sized for Wi-Fi TX peak",
U6,1,SD 2:1 bus mux,TS3A-class 2:1,Package_DFN_QFN:QFN-20,0.45,0.45,Arbitrates microSD/eMMC bus between radio (A) and bridge (B),
J1,1,USB-C receptacle,USB4105-GF-A-060 (or equiv),Connector_USB:USB_C_Receptacle_USB2.0_16P,0.30,0.30,Charge + wired data + CC,
D1,1,USB ESD array,USBLC6-2SC6,Package_TO_SOT_SMD:SOT-23-6,0.20,0.20,TVS protection on D+/D-/VBUS,
R1,1,5.1k,RC0402FR-075K1L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,USB-C CC1 pulldown (sink role),
R2,1,5.1k,RC0402FR-075K1L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,USB-C CC2 pulldown (sink role),
R3,1,2k,RC0402FR-072KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,MCP73831 PROG (sets ~500mA charge; size to cell),
R4,1,4.7k,RC0402FR-074K7L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,I2C SDA pull-up,
R5,1,4.7k,RC0402FR-074K7L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,I2C SCL pull-up,
R6,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,Button pull-up,
SW1,1,tactile button,B3U-1000P,Button_Switch_SMD:SW_SPST_B3U-1000P,0.10,0.10,Pair / factory-reset (press patterns),
LED1,1,WS2812B,WS2812B-2020,LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm,0.20,0.20,Addressable RGB status LED,
R7,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_CMD pull-up,
R8,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D0 pull-up,
R9,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D1 pull-up,
R10,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D2 pull-up,
R11,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D3 pull-up,
J2,1,microSD push-push socket,DM3D-SF,Connector_Card:microSD_HC_Hirose_DM3D-SF,0.40,0.40,User-swappable microSD (SDIO 4-bit),
BT1,1,LiPo 120-200mAh + PCM,cell + JST-ACH or solder pads,Connector:Conn_01x02_Pin,2.00,2.00,Single-cell LiPo with protection circuit,
C_GRP,1,decoupling+bulk (grouped),,Capacitor_SMD:C_0402_1005Metric,0.50,0.50,100nF per IC rail + 10uF bulk near U1/U5 + USB/charger input caps,represented as a group; expand to individual C refs in KiCad
PCB,1,2-4 layer board,,,1.50,1.50,"Small board, volume pricing",
ENC,1,enclosure (3D-print early),,,2.00,2.00,35x28x9mm shell,molding tooling is separate capex

TOTAL_ELECTRONICS,,,,,,10.16,,
TOTAL_FULL_BOM,,,,,,13.66,microSD card extra/bundled,
