ref,qty,value,mpn,footprint,unit_cost_usd,line_cost_usd,description,note
U1,1,ESP32-C5-WROOM-1,ESP32-C5-WROOM-1-N8R8,RF_Module:ESP32-C5-WROOM-1,2.60,2.60,Wi-Fi 6 dual-band + BLE module (radio/MCU),
U2,1,GL3224-OIY04 USB 3.0 SD Bridge,GL3224-OEM,Package_DFN_QFN:QFN-32-EP_5x5mm,1.80,1.80,USB 3.0 High-Speed SD/eMMC bridge; owns storage when plugged in,"Primary. USB 3.0 for ~70-100+ MB/s wired. QFN-32 single-LUN. Pin mapping verified from finalized symbol. USB 3.0 SS pins may be NC in USB 2.0 fallback. Backup: GL823 (QFN-24, USB 2.0)."
U3,1,BQ25896RTWT Power-Path Charger,BQ25896RTWT,Package_DFN_QFN:WQFN-24-EP_4x4mm,1.50,1.50,I2C USB buck charger with power-path; run radio while charging,"Primary. Power-path allows radio operation while charging. I2C controllable. Backup: MCP73831 (SOT-23-5, simple linear, no power-path)."
U4,1,MAX17048G+T10,MAX17048G+T10,Package_DFN_QFN:TDFN-8-1EP_3x3mm,0.80,0.80,I2C fuel gauge (real battery percent),
U5,1,SY8089AAC 3V3 buck,SY8089AAC,Package_TO_SOT_SMD:SOT-23-5,0.17,0.17,"Step-down regulator, sized for Wi-Fi TX peak",
U6,1,SD 2:1 bus mux,TMUX1574,Package_DFN_QFN:QFN-24,0.55,0.55,Arbitrates microSD/eMMC bus between radio (A) and bridge (B),"Alternative. Higher BW, lower Ron. Signal integrity upgrade."
J1,1,USB4105-GF-A-060 USB-C receptacle,USB4105-GF-A-060,Connector_USB:USB_C_Receptacle_USB2.0_16P,1.07,1.07,Charge + wired data + CC,
D1,1,USB ESD array,USBLC6-2SC6,Package_TO_SOT_SMD:SOT-23-6,0.20,0.20,TVS protection on D+/D-/VBUS,
R1,1,5.1k,RC0402FR-075K1L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,USB-C CC1 pulldown (sink role),
R2,1,5.1k,RC0402FR-075K1L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,USB-C CC2 pulldown (sink role),
R3,1,2k,RC0402FR-072KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,BQ25896 ILIM (sets input current limit),
R4,1,4.7k,RC0402FR-074K7L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,I2C SDA pull-up,
R5,1,4.7k,RC0402FR-074K7L,Resistor_SMD:R_0402_1005Metric,0.01,0.01,I2C SCL pull-up,
R6,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,Button pull-up,
SW1,1,B3U-1000P tactile button,B3U-1000P,Button_Switch_SMD:SW_SPST_B3U-1000P,0.18,0.18,Pair / factory-reset (press patterns),
LED1,1,WS2812B-2020-V6,WS2812B-2020-V6,LED_SMD:LED_WS2812B-2020-V6,0.10,0.10,Addressable RGB status LED,
R7,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_CMD pull-up,
R8,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D0 pull-up,
R9,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D1 pull-up,
R10,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D2 pull-up,
R11,1,10k,RC0402FR-0710KL,Resistor_SMD:R_0402_1005Metric,0.01,0.01,SD_D3 pull-up,
J2,1,DM3D-SF microSD push-push socket,DM3D-SF,Connector_Card:microSD_HC_Hirose_DM3D-SF,1.41,1.41,User-swappable microSD (SDIO 4-bit),
BT1,1,LiPo 120-200mAh + PCM,BM02B-ACHSS-GAN-ETF + cell,Connector:Conn_01x02_Pin,2.00,2.00,Single-cell LiPo with protection circuit,

TOTAL_ELECTRONICS,,,,,,12.49,,
